anime,Gênero do anime,anime_url,anime_img,Quantidade de episódios do anime,Votos totais do anime,Avaliação do anime,Avaliação Categoria do anime,Contagem total de votos de todos os animes
DREAM FESTIVAL!,"Drama, Idols, Music",https://www.crunchyroll.com/dream-festival,https://img1.ak.crunchyroll.com/i/spire1/865b418af3b2d674b614fcac258e1e111507071133_full.jpg,24,12,3.67,Bom,269909
Tantei Team KZ Jiken Note,Mystery,https://www.crunchyroll.com/tantei-team-kz-jiken-note,https://img1.ak.crunchyroll.com/i/spire4/98528102f887e665b8b88892cf635ff01444172299_full.jpg,16,12,3.67,Bom,269909
Butlers X Battlers,"Action, Supernatural",https://www.crunchyroll.com/butlers-x-battlers,https://img1.ak.crunchyroll.com/i/spire1/f7510d2e62fddf8d0705b5960cbe53511523422491_full.jpg,12,12,3.25,Bom,269909
Milpom,Comedy,https://www.crunchyroll.com/milpom,https://img1.ak.crunchyroll.com/i/spire4/b8e1ba30781a55fe5fe4ea52bfa98c9b1529085652_full.jpg,6,12,2.67,Neutro,269909
Urawa no Usagi-chan,"Comedy, Slice of life",https://www.crunchyroll.com/urawa-no-usagi-chan,https://img1.ak.crunchyroll.com/i/spire4/e48952743146d7a28c427717decb57161428521407_full.jpg,12,12,2.58,Neutro,269909
BAKUMATSU,Action,https://www.crunchyroll.com/bakumatsu,https://img1.ak.crunchyroll.com/i/spire3/3c1de9ef7345de025c51ba20cfee30341542241298_full.jpg,24,12,2.33,Neutro,269909
Gundam Build Fighters,"Action, Mecha, Sci-fi, Slice of life",https://www.crunchyroll.com/gundam-build-fighters,https://img1.ak.crunchyroll.com/i/spire2/47362ca7ea9b03c780103068bb30864b1490213743_full.jpg,50,11,4.91,Excelente,269909
Oda Cinnamon Nobunaga,Comedy,https://www.crunchyroll.com/oda-cinnamon-nobunaga,https://img1.ak.crunchyroll.com/i/spire3/55ba27bee6e6e81cc5165c7f99a5858e1578587860_full.jpg,11,11,4.64,Excelente,269909
Mobile Fighter G Gundam,"Action, Mecha, Sci-fi",https://www.crunchyroll.com/mobile-fighter-g-gundam,https://img1.ak.crunchyroll.com/i/spire4/9603d1d63886a4446e86860e0a304b271489008660_full.jpg,49,11,4.45,Excelente,269909
Magia Record: Puella Magi Madoka Magica Side Story,Fantasy,https://www.crunchyroll.com/magia-record-puella-magi-madoka-magica-side-story,https://img1.ak.crunchyroll.com/i/spire2/82643347ae12c3c80c8bec22fc5ce0511578705556_full.jpg,10,11,4.45,Excelente,269909
Starmyu,"Comedy, Idols, Music, Slice of life",https://www.crunchyroll.com/starmyu,https://img1.ak.crunchyroll.com/i/spire3/dd98d8806b2de8ec89f75f21f65863ed1491256671_full.jpg,24,11,4.36,Excelente,269909
ROOM CAMP,"Comedy, Slice of life",https://www.crunchyroll.com/room-camp,https://img1.ak.crunchyroll.com/i/spire4/2744897b39bed49f06fce0ccddd76ab61577931713_full.jpg,11,11,4.27,Excelente,269909
Akagi (Drama),,https://www.crunchyroll.com/akagi-drama,https://img1.ak.crunchyroll.com/i/spire4/c4a8a1fa13cfa6de257b624a40e248421437188761_full.jpg,10,11,4.27,Excelente,269909
KING OF PRISM -Shiny Seven Stars-,"Idols, Music, Sports",https://www.crunchyroll.com/king-of-prism-shiny-seven-stars-,https://img1.ak.crunchyroll.com/i/spire3/64f33fa4db13a8bd798f87ea90bc187e1555304044_full.jpg,12,11,4.18,Excelente,269909
Robot Girls Z,"Comedy, Fantasy, Mecha, Sci-fi",https://www.crunchyroll.com/robot-girls-z,https://img1.ak.crunchyroll.com/i/spire3/337c0c4ddbc360b2dd4edc3b826189af1432160529_full.jpg,9,11,4.18,Excelente,269909
Piacevole,"Comedy, Slice of life",https://www.crunchyroll.com/piacevole,https://img1.ak.crunchyroll.com/i/spire4/5e6137d212f3f7c80b51ecdfc480c6741484082868_full.jpg,12,11,4.09,Excelente,269909
ClassicaLoid,"Comedy, Music, Sci-fi",https://www.crunchyroll.com/classicaloid,https://img1.ak.crunchyroll.com/i/spire4/c269554bf4323fe75285e795c57e060a1475826088_full.jpg,25,11,3.91,Bom,269909
Magical Somera-chan,Comedy,https://www.crunchyroll.com/magical-somera-chan,https://img1.ak.crunchyroll.com/i/spire3/b866c2c6b15f76040b4685f3d03c4e971534192775_full.jpg,12,11,3.73,Bom,269909
TWOCAR,"Action, Seinen, Sports",https://www.crunchyroll.com/twocar,https://img1.ak.crunchyroll.com/i/spire1/90d16f1748906289cb4ff6b72565f2731507942341_full.jpg,12,11,2.55,Neutro,269909
Wonder Momo,"Action, Idols, Magical girls, Sci-fi",https://www.crunchyroll.com/wonder-momo,https://img1.ak.crunchyroll.com/i/spire3/afc892b4d9467953e5ed6318342908eb1391496006_full.jpg,5,11,2.27,Neutro,269909
We Rent Tsukumogami,"Drama, Fantasy, Historical, Romance, Supernatural",https://www.crunchyroll.com/we-rent-tsukumogami,https://img1.ak.crunchyroll.com/i/spire4/8ea28471581ba584ff58478289ab7da41532130537_full.jpg,12,10,5.0,Excelente,269909
Book Girl,"Drama, Mystery, Romance",https://www.crunchyroll.com/book-girl,https://img1.ak.crunchyroll.com/i/spire4/b82dd5e91eab13e4e84b0e4f29a7f0f31401836783_full.jpg,1,10,4.9,Excelente,269909
Hina Logic - from Luck & Logic,"Action, Comedy, Fantasy",https://www.crunchyroll.com/hina-logic-from-luck-logic,https://img1.ak.crunchyroll.com/i/spire3/7be2331224b533070ad5afb5e89c2d521498254688_full.jpg,12,10,4.3,Excelente,269909
Da Capo III,"Comedy, Drama, Harem, Romance",https://www.crunchyroll.com/da-capo-iii,https://img1.ak.crunchyroll.com/i/spire3/36977e781ac4b09317621b8b4984b6431357336262_full.jpg,13,10,4.3,Excelente,269909
Minami Kamakura High School Girls Cycling Club,"Slice of life, Sports",https://www.crunchyroll.com/minami-kamakura-high-school-girls-cycling-club,https://img1.ak.crunchyroll.com/i/spire4/642b043fc0e0fecd7f301ce0725bc0971483178985_full.jpg,13,10,4.0,Bom,269909
Digimon Universe App Monsters,"Action, Sci-fi",https://www.crunchyroll.com/digimon-universe-app-monsters,https://img1.ak.crunchyroll.com/i/spire2/ba814f4d03f4889fc80818119b116b211570840201_full.jpg,52,9,4.67,Excelente,269909
Shonen Ashibe GO! GO! Goma-chan,"Adventure, Comedy, Slice of life",https://www.crunchyroll.com/shonen-ashibe-go-go-goma-chan,https://img1.ak.crunchyroll.com/i/spire4/c0763707da2f4aeae8ce78642a6248bd1532553588_full.jpg,120,9,4.33,Excelente,269909
Dimension High School,"Adventure, Mystery",https://www.crunchyroll.com/dimension-high-school,https://img1.ak.crunchyroll.com/i/spire2/71eeb4b45b0ad12b409162322d4291771548973453_full.jpg,12,9,3.33,Bom,269909
Ikemen Sengoku: Bromances Across Time,"Comedy, Historical, Romance",https://www.crunchyroll.com/ikemen-sengoku-bromances-across-time,https://img1.ak.crunchyroll.com/i/spire4/f0b2bc2e56d907f52c15e7ac5ead7c551499857083_full.jpg,12,8,5.0,Excelente,269909
Ultraman Geed,"Action, Fantasy, Mecha, Sci-fi",https://www.crunchyroll.com/ultraman-geed,https://img1.ak.crunchyroll.com/i/spire2/a5cba103977a415dfb3140a5e2cc73471499459585_full.jpg,26,8,4.88,Excelente,269909
Shin Atashinchi,"Comedy, Slice of life",https://www.crunchyroll.com/shin-atashinchi,https://img1.ak.crunchyroll.com/i/spire1/f81ff79a711c6ffb290742cf86480fa51443057401_full.jpg,26,8,4.88,Excelente,269909
Kiitaro's yokai picture diary,"Comedy, Fantasy, Supernatural",https://www.crunchyroll.com/kiitaros-yokai-picture-diary,https://img1.ak.crunchyroll.com/i/spire3/4d785b710da19b4df4366eb36402dff61475673477_full.jpg,12,8,4.25,Excelente,269909
Working Buddies!,"Comedy, Slice of life",https://www.crunchyroll.com/working-buddies,https://img1.ak.crunchyroll.com/i/spire2/3b08a3f3cc633034743b596e2727c1461515166825_full.jpg,25,8,4.25,Excelente,269909
KOWABON,,https://www.crunchyroll.com/kowabon,https://img1.ak.crunchyroll.com/i/spire4/290e141abdcdc83bde29f8e700ebbd051496110322_full.jpg,13,8,4.25,Excelente,269909
Ai-Mai-Mi Mousou Catastrophe,"Comedy, Slice of life",https://www.crunchyroll.com/ai-mai-mi-mousou-catastrophe,https://img1.ak.crunchyroll.com/i/spire1/76754ee3b0c6d5bc465631812b9569fc1404972910_full.jpg,12,8,3.88,Bom,269909
The Nameko Families,"Comedy, Slice of life",https://www.crunchyroll.com/the-nameko-families,https://img1.ak.crunchyroll.com/i/spire1/4d7ef0fc83cac6a46acfe97cee9e5f241427844057_full.jpg,13,8,3.75,Bom,269909
THE [email protected] CINDERELLA GIRLS Theater,"Comedy, Idols, Music, Slice of life",https://www.crunchyroll.com/the-idolmster-cinderella-girls-theater,https://img1.ak.crunchyroll.com/i/spire4/405295b1714f7167db84da5b56c3b0cf1491293698_full.jpg,92,8,3.75,Bom,269909
TSUKIPRO THE ANIMATION,"Idols, Music, Slice of life",https://www.crunchyroll.com/tsukipro-the-animation,https://img1.ak.crunchyroll.com/i/spire1/d5f83364c0360f7085ebf9a190c7e2401507939393_full.jpg,13,8,3.75,Bom,269909
Twin Angels BREAK,"Action, Drama, Magical girls, Shonen, Supernatural",https://www.crunchyroll.com/twin-angels-break,https://img1.ak.crunchyroll.com/i/spire2/d91bd4acd918bbc9db5bedbbd2b3b3101491522616_full.jpg,12,8,3.62,Bom,269909
FINAL FANTASY XV: EPISODE ARDYN – PROLOGUE,"Action, Adventure, Drama, Fantasy",https://www.crunchyroll.com/final-fantasy-xv-episode-ardyn-prologue,https://img1.ak.crunchyroll.com/i/spire1/440fe475df96e973666eedd65bf167be1550299422_full.jpg,1,8,3.5,Bom,269909
BAKUMATSU GIJINDEN ROMAN,"Action, Drama, Romance, Sci-fi",https://www.crunchyroll.com/bakumatsu-gijinden-roman,https://img1.ak.crunchyroll.com/i/spire4/6faa30dc2ed522aa437390f96a9f64d21357328815_full.jpg,12,8,3.38,Bom,269909
Rainy Cocoa sideG,"Comedy, Slice of life",https://www.crunchyroll.com/rainy-cocoa-sideg,https://img1.ak.crunchyroll.com/i/spire2/c0ffae7b12d7900efed7c989734638761546916552_full.jpg,12,8,1.88,Ruim,269909
Marmalade Boy,,https://www.crunchyroll.com/marmalade-boy,https://img1.ak.crunchyroll.com/i/spire2/b062a3850315a43ae2eb1389541acb761581484715_full.jpg,76,7,4.86,Excelente,269909
Tsukimonogatari,"Action, Comedy, Drama, Fantasy, Harem, Supernatural",https://www.crunchyroll.com/tsukimonogatari,https://img1.ak.crunchyroll.com/i/spire3/d30c35a7e579848a8e92e338218f57c81429224923_full.jpg,1,7,4.86,Excelente,269909
The Prince of Tennis II OVA vs Genius 10,"Action, Drama, Shonen, Sports",https://www.crunchyroll.com/the-prince-of-tennis-ii-ova-vs-genius-10,https://img1.ak.crunchyroll.com/i/spire2/07ffd09d6983a3080b411232c359f9661434056949_full.jpg,10,7,4.71,Excelente,269909
Mobile Suit Gundam Wing - Endless Waltz,"Action, Mecha, Sci-fi",https://www.crunchyroll.com/mobile-suit-gundam-wing-endless-waltz,https://img1.ak.crunchyroll.com/i/spire2/e64bf81f4a7d81127341d1ccdc0a30061490903290_full.jpg,1,7,4.71,Excelente,269909
KAIJU GIRLS,"Comedy, Fantasy, Sci-fi",https://www.crunchyroll.com/kaiju-girls,https://img1.ak.crunchyroll.com/i/spire1/92eef3342009dfc3ffe1d46dad8677561474921698_full.jpg,24,7,4.57,Excelente,269909
Brave Beats,"Music, Sci-fi",https://www.crunchyroll.com/brave-beats,https://img1.ak.crunchyroll.com/i/spire2/464752389742141621c5d8e4f84323cc1444425970_full.jpg,22,7,4.43,Excelente,269909
Ai-Mai-Mi Surgical Friends,"Comedy, Slice of life",https://www.crunchyroll.com/ai-mai-mi-surgical-friends,https://img1.ak.crunchyroll.com/i/spire1/553a345224ffe6e92bbf9ed5f8299c001483469435_full.jpg,12,7,3.86,Bom,269909
Late night! The Genius Bakabon,"Comedy, Slice of life",https://www.crunchyroll.com/late-night-the-genius-bakabon,https://img1.ak.crunchyroll.com/i/spire1/e9e2e44446dcc49fec0ccaec5d824ba01531187069_full.jpg,12,7,3.86,Bom,269909
Welcome to the JAPARI PARK,,https://www.crunchyroll.com/welcome-to-the-japari-park,https://img1.ak.crunchyroll.com/i/spire3/29b2e42e3615db7dd8286cebc6b57d071539992405_full.jpg,24,7,3.57,Bom,269909
Idol Incidents,"Idols, Music",https://www.crunchyroll.com/idol-incidents,https://img1.ak.crunchyroll.com/i/spire4/446694d176bb4a7ddd7299d177d9d10b1487188471_full.jpg,12,7,3.43,Bom,269909
SD GUNDAM WORLD SANGOKU SOKETSUDEN,"Action, Adventure, Mecha, Shonen",https://www.crunchyroll.com/sd-gundam-world-sangoku-soketsuden,https://img1.ak.crunchyroll.com/i/spire2/50aad1dab4778d9fce6a2addaa29b3e61564101857_full.jpg,7,7,2.86,Neutro,269909
Pastel Memories,"Comedy, Sci-fi, Slice of life",https://www.crunchyroll.com/pastel-memories,https://img1.ak.crunchyroll.com/i/spire1/28d0474e5cb2b17fbd4f9764b65e19b61549060465_full.jpg,11,7,2.71,Neutro,269909
Million Doll,"Idols, Music",https://www.crunchyroll.com/million-doll,https://img1.ak.crunchyroll.com/i/spire1/801bfebed57afb72d0bd21d26f62d5c11436314465_full.jpg,12,7,2.43,Neutro,269909
Nazotokine,"Comedy, Drama, Isekai, Sci-fi",https://www.crunchyroll.com/nazotokine,https://img1.ak.crunchyroll.com/i/spire3/a13856557a3fa685fd12f85dab3c783b1475669513_full.jpg,12,7,1.57,Ruim,269909
Nekomonogatari Black,"Action, Comedy, Drama, Fantasy, Harem, Supernatural, Thriller",https://www.crunchyroll.com/nekomonogatari-black,https://img1.ak.crunchyroll.com/i/spire4/f7582dc61846a118b093b8eda7c002ff1429227835_full.jpg,4,6,4.33,Excelente,269909
Wacky TV Nanana,Comedy,https://www.crunchyroll.com/wacky-tv-nanana,https://img1.ak.crunchyroll.com/i/spire4/c21019f7c671dc5dd72f7c402a1237d71554983232_full.jpg,48,6,4.33,Excelente,269909
SENGOKUCHOJYUGIGA,"Comedy, Fantasy, Historical, Slice of life, Supernatural",https://www.crunchyroll.com/sengokuchojyugiga,https://img1.ak.crunchyroll.com/i/spire2/5c7e176aa972d2d41f0378a86cd9c1131475923572_full.jpg,26,6,4.17,Excelente,269909
Hana Yori Dango (Boys Over Flowers),"Romance, Shojo",https://www.crunchyroll.com/hana-yori-dango-boys-over-flowers,https://img1.ak.crunchyroll.com/i/spire1/67ecad5f9799853799674052d4e96fb51580256214_full.jpg,51,6,4.0,Bom,269909
Usakame,"Comedy, Slice of life, Sports",https://www.crunchyroll.com/usakame,https://img1.ak.crunchyroll.com/i/spire4/429e4c9bb85bdba663ec945ee2bec6631460330376_full.jpg,12,6,3.83,Bom,269909
Music Girls,"Idols, Music, Shojo, Slice of life",https://www.crunchyroll.com/music-girls,https://img1.ak.crunchyroll.com/i/spire3/166ebe54def566fb69d7eab8ec15f46c1530981011_full.jpg,12,6,3.67,Bom,269909
Rainy Cocoa,"Comedy, Slice of life",https://www.crunchyroll.com/rainy-cocoa,https://img1.ak.crunchyroll.com/i/spire2/cdbe78e3c259363f08b32a6fb1375d161507940549_full.jpg,24,6,2.33,Neutro,269909
Crane Game Girls,"Comedy, Sci-fi",https://www.crunchyroll.com/crane-game-girls,https://img1.ak.crunchyroll.com/i/spire3/f9620dfbaf00aeb3e285955f70104c001459906859_full.jpg,25,6,2.0,Ruim,269909
Meow Meow Japanese History,"Comedy, Historical",https://www.crunchyroll.com/meow-meow-japanese-history,https://img1.ak.crunchyroll.com/i/spire1/994354b3b71c72e20e537436a7923e021513147731_full.jpg,96,5,5.0,Excelente,269909
Frame Arms Girl,"Mecha, Sci-fi, Slice of life",https://www.crunchyroll.com/frame-arms-girl,https://img1.ak.crunchyroll.com/i/spire2/1a9c1ea4f9b84085b9f093cd9152e0681541054909_full.jpg,12,5,4.6,Excelente,269909
Matoi the Sacred Slayer,Supernatural,https://www.crunchyroll.com/matoi-the-sacred-slayer,https://img1.ak.crunchyroll.com/i/spire1/25ba2aca3f0251bc87190119a1c4c37e1543534531_full.jpg,12,5,4.6,Excelente,269909
